Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST
32,2021,A.J. Brown (PHI),63,105,869,13.8,57,17,5,2,10,0,0,13,117.9,9.1,99.7%
9,2020,A.J. Brown (PHI),70,106,"1,075",15.4,73,28,11,0,0,0,1,14,177.5,12.7,99.7%
10,2019,A.J. Brown (PHI),52,84,"1,051",20.2,91,40,8,3,60,1,0,16,165.1,10.3,99.7%
42,2021,A.J. Green (ARI),54,92,848,15.7,42,28,3,0,0,0,0,16,102.8,6.4,8.3%
75,2020,A.J. Green (ARI),47,104,523,11.1,33,5,2,0,0,0,0,16,64.3,4.0,8.3%
248,2019,A.J. Green (ARI),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,8.3%
37,2018,A.J. Green (ARI),46,77,694,15.1,38,18,6,0,0,0,1,9,103.4,11.5,8.3%
10,2017,A.J. Green (ARI),75,143,"1,078",14.4,77,9,8,0,0,0,2,16,151.8,9.5,8.3%
34,2016,A.J. Green (ARI),66,100,964,14.6,54,15,4,0,0,0,0,10,120.4,12.0,8.3%
8,2015,A.J. Green (ARI),86,132,"1,297",15.1,80,19,10,0,0,0,1,16,187.7,11.7,8.3%
23,2014,A.J. Green (ARI),69,116,"1,041",15.1,81,13,6,2,2,0,2,13,136.3,10.5,8.3%
4,2013,A.J. Green (ARI),98,178,"1,426",14.6,82,18,11,0,0,0,0,16,208.6,13.0,8.3%
4,2012,A.J. Green (ARI),97,164,"1,350",13.9,73,16,11,4,38,0,1,16,202.8,12.7,8.3%
14,2011,A.J. Green (ARI),65,115,"1,057",16.3,58,0,7,5,53,0,0,15,153.0,10.2,8.3%
144,2014,A.J. Jenkins (FA),9,15,93,10.3,27,1,0,2,-2,0,0,9,9.1,1.0,0.0%
131,2013,A.J. Jenkins (FA),8,17,130,16.3,48,3,0,2,6,0,0,16,13.6,0.9,0.0%
215,2012,A.J. Jenkins (FA),0,1,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
163,2016,Aaron Burbridge (FA),7,16,88,12.6,24,1,0,0,0,0,1,16,6.8,0.4,0.0%
140,2015,Aaron Dobson (FA),13,21,141,10.8,24,1,0,0,0,0,0,8,14.1,1.8,0.0%
165,2014,Aaron Dobson (FA),3,5,38,12.7,16,0,0,0,0,0,0,4,3.8,1.0,0.0%
59,2013,Aaron Dobson (FA),37,72,519,14.0,81,6,4,0,0,0,0,12,75.9,6.3,0.0%
126,2007,Aaron Moorehead (FA),4,0,26,6.5,8,0,0,0,0,0,0,3,2.6,0.9,0.0%
114,2006,Aaron Moorehead (FA),8,0,82,10.3,36,0,1,0,0,0,0,4,14.2,3.6,0.0%
139,2005,Aaron Moorehead (FA),7,0,75,10.7,24,0,0,0,0,0,0,2,7.5,3.8,0.0%
156,2004,Aaron Moorehead (FA),1,3,7,7.0,7,0,0,0,0,0,0,2,0.7,0.4,0.0%
123,2003,Aaron Moorehead (FA),7,10,101,14.4,35,0,0,0,0,0,0,3,10.1,3.4,0.0%
167,2014,Ace Sanders (FA),6,7,55,9.2,24,1,0,0,0,0,1,12,3.5,0.3,0.0%
70,2013,Ace Sanders (FA),51,86,484,9.5,51,8,1,2,4,0,0,15,59.6,4.0,0.0%
110,2021,Adam Humphries (FA),41,62,383,9.3,27,4,0,0,0,0,0,17,38.3,2.3,1.0%
110,2020,Adam Humphries (FA),23,35,228,9.9,23,2,2,1,0,0,0,7,34.8,5.0,1.0%
85,2019,Adam Humphries (FA),37,47,374,10.1,30,5,2,1,1,0,0,12,49.5,4.1,1.0%
31,2018,Adam Humphries (FA),76,105,816,10.7,51,12,5,2,11,0,0,16,112.7,7.0,1.0%
60,2017,Adam Humphries (FA),61,83,631,10.3,43,5,1,1,6,0,1,16,67.7,4.2,1.0%
63,2016,Adam Humphries (FA),55,83,622,11.3,42,7,2,5,18,0,0,15,78.0,5.2,1.0%
104,2015,Adam Humphries (FA),27,40,260,9.6,27,1,1,0,0,0,0,13,32.0,2.5,1.0%
157,2009,Adam Jennings (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
156,2008,Adam Jennings (FA),0,0,0,0.0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%
150,2007,Adam Jennings (FA),0,0,0,0.0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
183,2006,Adam Jennings (FA),0,0,0,0.0,0,0,0,1,-4,0,0,11,-0.4,-0.0,0.0%
27,2021,Adam Thielen (MIN),67,95,726,10.8,35,16,10,1,2,0,0,13,132.8,10.2,94.1%
7,2020,Adam Thielen (MIN),74,108,925,12.5,51,18,14,3,15,0,0,15,180.0,12.0,94.1%
56,2019,Adam Thielen (MIN),30,48,418,13.9,44,12,6,4,6,1,0,10,84.4,8.4,94.1%
7,2018,Adam Thielen (MIN),113,153,"1,373",12.2,68,28,9,5,30,0,1,16,194.3,12.1,94.1%
11,2017,Adam Thielen (MIN),91,142,"1,276",14.0,65,20,4,1,11,0,2,16,148.7,9.3,94.1%
29,2016,Adam Thielen (MIN),69,92,967,14.0,71,16,5,2,15,0,1,16,126.2,7.9,94.1%
122,2015,Adam Thielen (MIN),12,18,144,12.0,30,1,0,4,89,0,0,16,23.3,1.5,94.1%
124,2014,Adam Thielen (MIN),8,13,137,17.1,44,2,1,0,0,0,0,16,19.7,1.2,94.1%
175,2003,Adrian Madise (FA),2,3,10,5.0,5,0,0,1,10,0,1,4,0.0,0.0,0.0%
136,2003,Ahmad Merritt (FA),3,10,50,16.7,25,0,0,0,0,0,0,11,5.0,0.5,0.0%
